file,epoch,ampidx,tag,amp,Nkeep,time_idx,F,p,q,rej,minus_log10_q,weighted,renorm,error_threshold,fdr_alpha,amp_edge_left,amp_edge_right
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,0,1.0467374454930625,0.29145387098119757,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,1,1.0198832908361557,0.40032055311428094,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,2,0.9268555250115318,0.7931052662186134,0.8350212089678185,0,0.0783024935933875,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,3,1.0318878992220781,0.34984029505309655,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,4,1.001945020997987,0.4794761493371379,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,5,1.008732176858402,0.4491467047798412,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,6,0.9491771342339476,0.7102907230380788,0.7720551337370422,0,0.11235168486789925,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,7,1.0126372112903443,0.43187976320796007,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,8,1.1486742687726035,0.051416021626458086,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,9,0.9783341923277883,0.5858372770393176,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,10,1.0095385501335252,0.445568493432013,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,11,0.9947497739264026,0.5119061610349813,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,12,0.9757141882238738,0.5975030940399451,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,13,0.9838896852244818,0.5609311761935776,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,14,0.9728904060364072,0.6100026329382344,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,15,0.9737104705642149,0.6063811866443755,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,16,1.0401370788660276,0.3167845048332245,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,17,1.0793541921021275,0.18334261255605222,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,18,1.02798756271805,0.3659583301795364,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,19,1.003330296369409,0.4732592653677986,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,20,0.8796075396438081,0.9174796417694493,0.9267471128984336,0,0.03303875825683633,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,21,1.029975242226072,0.35770755182358815,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,22,1.0001733181882468,0.48744269833407095,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,23,0.9869958608791339,0.5469345070064099,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,24,0.9704131205909927,0.620895696883572,0.7691141811663844,0,0.1140091809145258,0,0,,,,
ASCADf_E399_ANOVA_RpA_ampidx0.npz,399,0,,4.2277822558389745e-07,53220,25,1.0246524565503903,0.37996498690816205,0.7691141811663844,0,0.1140091809145258,0,0,,,,
